"Includes Amazon Marketplace, Fulfilment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in GBP, unless specified"
"Definitions:"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes delivery chargebacks, delivery holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","product sales","postage credits","gift wrap credits","promotional rebates","selling fees","fba fees","other transaction fees","other","total"
"16 Jun 2014 13:45:42 GMT+00:00","6446517452","Order","203-6039758-6463545","BF-0CSD-OBUM","Blackhead Whitehead Spot Remover Comedone Extractor","1","amazon.co.uk","Amazon","LONDON","","W1U 6NS","6.49","0","0","0","-0.97","-3.41","0","0","2.11"
"18 Jun 2014 14:09:38 GMT+00:00","6446517452","Order","203-6061429-2809934","4C-2GQC-GJ73","Splinter Tweezer","1","amazon.co.uk","Amazon","London","","NW2 1QL","6.49","0","0","0","-0.97","-3.27","0","0","2.25"
"18 Jun 2014 14:39:25 GMT+00:00","6446517452","Order","205-6288958-4344349","BF-0CSD-OBUM","Blackhead Whitehead Spot Remover Comedone Extractor","1","amazon.co.uk","Amazon","Solna","Stockholm","17164","6.49","0.47","0","0","-0.97","-3.53","0","0","2.46"
"18 Jun 2014 14:39:25 GMT+00:00","6446517452","Order","205-6288958-4344349","BF-0CSD-OBUM","Blackhead Whitehead Spot Remover Comedone Extractor","1","amazon.co.uk","Amazon","Solna","Stockholm","17164","6.49","0.47","0","0","-0.97","-3.52","0","0","2.47"
"18 Jun 2014 14:39:25 GMT+00:00","6446517452","Order","205-6288958-4344349","BF-0CSD-OBUM","Blackhead Whitehead Spot Remover Comedone Extractor","1","amazon.co.uk","Amazon","Solna","Stockholm","17164","6.49","0.47","0","0","-0.97","-3.53","0","0","2.46"
"18 Jun 2014 14:47:47 GMT+00:00","6446517452","Order","026-1928397-5643549","BF-0CSD-OBUM","Blackhead Whitehead Spot Remover Comedone Extractor","1","amazon.co.uk","Amazon","Gloucester","Gloucestershire","GL2 2ER","6.49","2.06","0","0","-0.97","-5.13","0","0","2.45"
"20 Jun 2014 03:18:17 GMT+00:00","6446517452","Order","026-2748334-6382769","9Y-S2O7-I54H","Dental Scaler Professional Tool Stainless Steel","1","amazon.co.uk","Amazon","Bolton","Lancashire","BL3 2NR","5.90","0","0","0","-0.89","-1.07","0","0","3.94"
"20 Jun 2014 10:29:50 GMT+00:00","6446517452","Order","204-6392534-5998721","BF-0CSD-OBUM","Blackhead Whitehead Spot Remover Comedone Extractor","2","amazon.co.uk","Amazon","PETERBOROUGH","Cambs","PE2 5UB","12.98","0","0","0","-1.95","-6.41","0","0","4.62"
"20 Jun 2014 12:08:25 GMT+00:00","6446517452","Order","203-5412847-3193114","S6-NR5L-A3AL","Dental Professional Tool Scaler Calculus Scraper","1","amazon.co.uk","Amazon","DERBY","Derbyshire","DE73 6TJ","8.90","6.01","0","0","-1.34","-8.46","0","0","5.11"
"20 Jun 2014 14:11:40 GMT+00:00","6446517452","Order","205-8894183-0422761","6P-SDKK-J2W7","Comedone extractor spot removal tool","1","amazon.co.uk","Amazon","London","","SE20 8ES","6.49","6.01","0","0","-0.97","-8.46","0","0","3.07"
