"Include transazioni relative sia a Vendita su Amazon sia Logistica di Amazon."
"Tutti gli importi sono espressi in EUR, se non diversamente specificato."
"Definizioni:"
"Commissioni di vendita: Include commissioni variabili di chiusura e concessioni di procacciamento d'affari"
"Altri costi relativi alle transazioni: includono costi di chargeback per la spedizione e trattenute sulla spedizione."
"Altro: include l'importo delle transazioni non relative all'ordine. Per maggiori informazioni, consulta le colonne ""Tipo"" e ""Descrizione"" per ogni numero d'ordine."
"Data/Ora:","Numero pagamento","Tipo","Numero ordine","SKU","Descrizione","Quantità","Marketplace","Gestione","Città di provenienza dell'ordine","Provincia di provenienza dell'ordine","CAP dell'ordine","Vendite","Accrediti per le spedizioni","Accrediti per confezioni regalo","Sconti promozionali","Commissioni di vendita","Costi del servizio Logistica di Amazon","Altri costi relativi alle transazioni","Altro","totale"
"05/giu/2014 15.40.20 GMT+00.00","6437026892","Ordine","402-5552423-7992318","JVS-05","Bracciale Lance's Right","1","amazon.it","Amazon","porto garibaldi","ferrara","44029","9,90","0","0","0","-1,98","-5,05","0","0","2,87"
"11/giu/2014 23.03.27 GMT+00.00","6446517482","Trasferimento","","","Al conto che termina con: 9101","","","","","","","0","0","0","0","0","0","0","-5,74","-5,74"
"18/giu/2014 15.48.32 GMT+00.00","6446517482","Ordine","402-3493616-4147553","JVS-03","Bracciale Escondido","1","amazon.it","Amazon","Santa Maria La Fossa","Caserta","81050","9,90","5,00","0","0","-1,98","-9,25","0","0","3,67"
"26/giu/2014 00.40.54 GMT+00.00","6451513232","Trasferimento","","","Al conto che termina con: 9101","","","","","","","0","0","0","0","0","0","0","-3,67","-3,67"
